name,developers,publishers,appid,type,price,positive-ratings,negative-ratings,release-date,genres,tags,platforms
DRAGON BALL: THE BREAKERS,['Dimps Corporation'],['Bandai Namco Entertainment'],1276760,game,$19.99,3053,3082,"Oct 13, 2022","['Action', 'Adventure', 'Casual']","Multiplayer, Anime, Survival, PvP, Online Co-Op, Villain Protagonist, Funny, Team-Based, Action, Third Person, Stealth, Character Customization, Superhero, Loot, Exploration, Co-op, Casual, Arcade, Destruction, Adventure",['windows']
Kick the VIRUS,['Split Personality Games'],['Split Personality Games'],1275860,game,$0.99,14,3,"Apr 18, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Sports']","Casual, Indie, Action, Adventure, Simulation, Sports, Sexual Content, FPS, Horror, Great Soundtrack, Funny, Singleplayer, Gore, Violent, Cute, Nudity, Memes, Survival, Cyberpunk, Futuristic",['windows']
"Happy Birthday, Adolf!",['StarK Software'],['StarK Software'],1275880,game,$4.99,8,6,"May 9, 2020","['Action', 'Adventure']","Action, Adventure, Violent, FPS, Zombies, World War II, Indie, Horror, Psychedelic, Psychological Horror, Post-apocalyptic, First-Person, Atmospheric, Singleplayer, Gore, Survival, Survival Horror",['windows']
Baldi's Basics Plus,['Basically Games'],"['Basically Games, LLC']",1275890,game,$9.99,7174,167,"Jun 11, 2020","['Action', 'Indie', 'Strategy', 'Early Access']","Rogue-like, Stealth, Horror, Procedural Generation, Funny, Parody , Retro, Indie, 3D, Exploration, Early Access, Perma Death, First-Person, Strategy, 1990's, Singleplayer, Rogue-lite, Action, Surreal, Survival Horror","['windows', 'mac', 'linux']"
Pirate Code Soundtrack,['Circuit Hive'],['Circuit Hive'],1275900,music,$6.99,0,0,"Apr 1, 2020",[],,"['windows', 'mac', 'linux']"
Football Manager 2021 In-game Editor,['Sports Interactive'],['SEGA'],1275920,dlc,$5.99,0,0,"Nov 23, 2020","['Simulation', 'Sports']",,"['windows', 'mac']"
Down the Rabbit Hole - Original Soundtrack,['Cortopia Studios'],['Cortopia Studios'],1275950,music,$2.99,0,0,"Apr 9, 2020",[],,"['windows', 'mac', 'linux']"
Blured Angel,['DONGJINCHAO'],['DONGJINCHAO'],1275960,game,$0.00,0,0,Coming Soon,"['Free To Play', 'Indie']",,['windows']
Digital Dungeon Tiles,['HMM'],['Dragom'],1275970,game,$29.99,3,5,"Apr 13, 2020","['Adventure', 'Indie', 'RPG', 'Strategy']","Indie, Strategy, Adventure, RPG, Level Editor",['windows']
Probe,['Nate Bit Games'],['Nate Bit Games'],1275980,game,$1.99,22,4,"Apr 14, 2020","['Action', 'Casual', 'Indie', 'Strategy']","Difficult, Arcade, Score Attack, Retro, Puzzle, Shooter, Strategy, Shoot 'Em Up, Singleplayer, 2D, Top-Down, Controller, Action, Colorful, Sci-fi, Space, Tactical, Logic, Family Friendly, Illuminati",['windows']
BlueGlow - Year 2 Pass,['Santiago Ramirez'],,1275990,dlc,$0.00,0,0,"Dec 4, 2020","['Action', 'Casual', 'Indie']",,['windows']
Wurmenai: The Sound Of Wurroom + Art Book,"['Serge Bulat', 'Michael Rfdshir']",['Michael Rfdshir'],1276030,music,$4.99,0,0,"Apr 2, 2020",[],,"['windows', 'mac', 'linux']"
Mini Words: Top Movies,['Mens Sana Interactive'],['Mens Sana Interactive'],1276040,game,$0.99,64,16,"Apr 10, 2020",['Casual'],"Word Game, Text-Based, Trivia, Puzzle, Superhero, Tabletop, Casual, Typing, Relaxing, Movie, Minimalist, Family Friendly, Logic, Singleplayer","['windows', 'mac']"
Void Destroyer 2 Soundtrack,['Iteration 11'],,1276050,music,$2.99,0,0,"Apr 14, 2020",[],,"['windows', 'mac', 'linux']"
Fingertips  mountain  sea,"['李淙', '指尖游道']",['指尖游道'],1276060,game,$0.99,0,2,"Dec 3, 2020","['Adventure', 'Indie', 'Simulation', 'Strategy']","Strategy, Indie, Adventure, Simulation, Open World",['windows']
Manufactoria 2022,['PleasingFungus Games'],['PleasingFungus Games'],1276070,game,$19.99,64,3,"Aug 16, 2022",['Simulation'],"Puzzle, Automation, Logic, Programming, Robots, Indie, Funny, Simulation, Nonlinear, Multiple Endings, Colorful, Stylized, Comedy, Singleplayer, Isometric, Early Access, 3D, Building","['windows', 'mac']"
Princess Castle Quest Demo,['Piggybank Studios'],['Piggybank Studios'],1276080,demo,$0.00,0,0,"Apr 8, 2020","['Adventure', 'Indie']",,['windows']
Creator Adventure Legend,['ZerpFa'],['ZerpFa'],1276090,game,$13.99,0,3,"Apr 27, 2020","['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']","Strategy, Indie, Casual, Adventure, Simulation, Early Access",['windows']
Clay Game,['Andy Schmitt'],['Everything Lab'],1276100,game,$0.00,112,17,"Jul 2, 2020","['Adventure', 'Casual', 'Free To Play', 'Indie']","Casual, Puzzle-Platformer, Action-Adventure, Third Person, Funny, Adventure, Narration, Puzzle, Conversation, Indie, Stylized, Colorful, Fantasy, Magic, Cats, Comedy, Cartoon, Singleplayer, Free to Play, Multiplayer",['windows']
Crumbling World Demo,['Crumbling World'],['Dume Arts'],1276110,demo,$0.00,0,0,"Apr 14, 2020","['Action', 'Indie', 'RPG']",,"['windows', 'mac', 'linux']"
Twilight Struggle: Red Sea,"['Playdek, Inc.']","['Playdek, Inc.']",1276130,game,$12.99,30,13,"May 24, 2023","['Simulation', 'Strategy']","Wargame, Cold War, Military, Politics, War, Political, PvP, Board Game, Strategy, Card Game, Tabletop, 2D, Simulation, Historical, 1980s, America, Singleplayer, Multiplayer, Turn-Based Strategy","['windows', 'mac']"
NuclearRifle,['SandStormeStudio'],['SandStormeStudio'],1276140,game,$0.99,5,7,"Apr 17, 2020","['Action', 'Adventure', 'Indie']","Action, Indie, Adventure, Gore, Violent, FPS, Zombies",['windows']
3DMark Wild Life benchmarks,['UL'],['UL'],1276160,dlc,$0.00,0,0,"Oct 14, 2020",['Utilities'],,['windows']
Pandemic Panic!,['MOSQUITO COCKTAIL LTD'],['MOSQUITO COCKTAIL LTD'],1276170,game,$0.99,3,0,"Apr 23, 2020","['Action', 'Indie']","Action, Indie, Arena Shooter, FPS, Shooter, Colorful, First-Person, Controller, Singleplayer, Difficult, Fast-Paced, Shoot 'Em Up, Atmospheric, Retro, Sci-fi, Science, Arcade, Rhythm, Bullet Hell, 3D",['windows']
PST VR (Primary Surgical Treatment),['Adelante LTD'],['Adelante LTD'],1276290,game,$0.00,14,13,"Apr 20, 2020","['Free To Play', 'Simulation', 'Early Access']","Free to Play, Simulation, Early Access, Nudity, VR, Medical Sim, Education",['windows']
Zerowood,['leaf studio'],['leaf studio'],1276300,game,$3.99,0,2,"Jun 30, 2020","['Action', 'Indie']","Action, Indie, Aliens, Sci-fi, Mechs, Martial Arts, 2D Platformer",['windows']
Naught,['WildSphere'],['WildSphere'],1276320,game,$1.99,16,2,"Jul 30, 2020","['Action', 'Casual', 'Indie']","Side Scroller, 2D Platformer, Puzzle-Platformer, Platformer, Action-Adventure, 2.5D, 2D, Noir, Story Rich, Linear, Action, Casual, Abstract, Stylized, Minimalist, Atmospheric, Mystery, Emotional, Physics, Dark",['windows']
Flying Soldiers,['WildSphere'],['WildSphere'],1276330,game,$2.33,8,0,"Sep 22, 2020","['Casual', 'Indie', 'Strategy']","Runner, Wargame, Puzzle-Platformer, Puzzle, Strategy, 3D, Funny, Casual, Cartoony, Realistic, Logic, Military, Family Friendly, War, Comedy, Physics, 1990's, Grid-Based Movement, Singleplayer, Indie",['windows']
Crossout - Assault Force: Tango-1,['Targem Games'],['Gaijin Network Ltd'],1276340,dlc,$29.99,0,0,"Apr 22, 2020","['Action', 'Massively Multiplayer', 'Racing', 'Free To Play']",,['windows']
X-Plane 11 - Add-on: Skyline Simulations - KLGB - Long Beach Airport XP,['Skyline Simulations'],['Skyline Simulations'],1275360,dlc,$24.99,0,0,"Mar 25, 2020",['Simulation'],,"['windows', 'mac', 'linux']"
Sharded World,['Nasty Cat'],['Nasty Cat'],1275370,game,$4.99,129,34,"Jan 16, 2023","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']","Early Access, Action Roguelike, Bullet Hell, RPG, Top-Down Shooter, Twin Stick Shooter, Rogue-lite, Action RPG, Dungeon Crawler, Rogue-like, Character Customization, 2.5D, PvE, 2D, Top-Down, Horror, Post-apocalyptic, Controller, Procedural Generation, Conversation","['windows', 'linux']"
City Destructor,['NODETRACK'],['NODETRACK'],1275390,game,$3.99,18,7,"Apr 14, 2020","['Casual', 'Indie', 'Simulation']","Indie, Casual, Simulation, Puzzle, Destruction, Relaxing, Level Editor",['windows']
Only One Rectangle,['Skull Box Games'],['Skull Box Games'],1275410,game,$0.99,13,1,"Jul 23, 2020","['Action', 'Casual', 'Indie']","Action, Indie, Casual, Platformer, 2D, Puzzle-Platformer, Puzzle",['windows']
Dungeon of the ENDLESS™ - Original Soundtrack,['AMPLITUDE Studios'],['SEGA'],1275440,music,$3.99,0,0,"Jun 11, 2020",[],,"['windows', 'mac']"
A letter to you!,['Savage Howl'],['Savage Howl'],1275450,game,$8.99,8,22,"Sep 24, 2020","['Action', 'Indie']","Action, Indie, Violent, Gore, Horror, Surreal, Psychological Horror, First-Person, Experience, Walking Simulator, Singleplayer, Realistic, Atmospheric, Survival Horror, Old School, Exploration, Survival, Early Access, Adventure, Simulation",['windows']
ENDLESS™ Legend - Original Soundtrack,['AMPLITUDE Studios'],['SEGA'],1275460,music,$7.99,0,0,"Jun 11, 2020",[],,"['windows', 'mac']"
ENDLESS™ Space - Original Soundtrack,['AMPLITUDE Studios'],['SEGA'],1275470,music,$3.99,0,0,"Jun 11, 2020",[],,"['windows', 'mac']"
Martial Arts Brutality Premium,['Cold Beam Games'],['Cold Beam Games'],1275490,game,$8.99,10,1,"Jun 9, 2020","['Action', 'Indie', 'Strategy']","Strategy, Action, Indie, Violent, Gore, Martial Arts, Card Game, Fighting",['windows']
ENDLESS™ Space 2 - Original Soundtrack,['AMPLITUDE Studios'],['SEGA'],1275500,music,$6.99,0,0,"Jul 3, 2020",['Strategy'],,"['windows', 'mac', 'linux']"
Choco Pixel 4,['Blender Games'],['Blender Games'],1275520,game,$1.99,4,4,"Apr 7, 2020","['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']","Puzzle, Side Scroller, Stylized, 2D, Pixel Graphics, Colorful, Indie, Sokoban, Casual, Cute, Old School, Retro, Family Friendly, Relaxing, Singleplayer, Quick-Time Events, Short, Replay Value, Adventure, Fast-Paced",['windows']
Go Kart Run!,['Good Free Games to Play'],['Good Free Games to Play'],1275540,game,$0.00,68,45,"Apr 9, 2020","['Action', 'Indie', 'Racing', 'Sports', 'Free To Play']","Racing, Free to Play, Action, Sports, Indie, Intentionally Awkward Controls, Multiplayer",['windows']
ENDLESS™ Space 2 - Harmonic Memories Soundtrack,['AMPLITUDE Studios'],['SEGA'],1275570,music,$2.99,0,0,"Jul 3, 2020",['Strategy'],,"['windows', 'mac']"
ENDLESS™ Space 2 - Lost Symphony Soundtrack,['AMPLITUDE Studios'],['SEGA'],1275580,music,$2.99,0,0,"Jul 3, 2020",['Strategy'],,"['windows', 'mac']"
Dieselpunk Wars Prologue,"['Image Power S.A.', 'Roasted Games']","['Image Power S.A.', 'PlayWay S.A.']",1275590,game,$0.00,129,42,"Apr 20, 2020","['Action', 'Indie', 'Simulation', 'Free To Play']","Free to Play, Simulation, Action, Indie, Sandbox, Building, Destruction, Physics, Singleplayer, Crafting, Tanks, Flight, Combat, Naval, Realistic, Combat Racing, Driving",['windows']
Kevin's Path to Wizdom,['Spell Loop'],['Spell Loop'],1275600,game,$14.99,31,0,"Dec 8, 2022","['Adventure', 'Indie', 'RPG', 'Strategy']","Turn-Based Tactics, Dungeon Crawler, Turn-Based, Strategy RPG, Turn-Based Strategy, RPG, Strategy, 2D, Turn-Based Combat, Funny, Pixel Graphics, Fantasy, Comedy, Magic, Tactical, Adventure, Retro, Singleplayer, Indie, Early Access","['windows', 'linux']"
Grappling Hook Ball Tournament,['Oplatrust'],['Oplatrust'],1275610,game,$9.99,0,0,"Nov 24, 2021","['Action', 'Indie']",,['windows']
Drug Dealer Simulator: Free Sample,['Byterunners Game Studio'],['Movie Games S.A.'],1275630,game,$0.00,2377,346,"Apr 3, 2020","['Action', 'Casual', 'Indie', 'Simulation', 'Free To Play']","Free to Play, Simulation, Action, Casual, Indie, Singleplayer, Crime, Management, Horror, Sexual Content, Great Soundtrack, Co-op, Nudity, Open World",['windows']
Coloring Game 3,['L. Stotch'],['L. Stotch'],1275640,game,$0.00,1287,53,"Apr 17, 2020","['Casual', 'Indie', 'Free To Play']","Free to Play, Casual, Indie, Pixel Graphics, Design & Illustration, Singleplayer, Relaxing, Colorful, Puzzle, Great Soundtrack, Cozy, Point & Click, 2D",['windows']
Sanity of Morris,['Alterego Games'],['StickyLock Studios'],1275660,game,$14.99,40,20,"Mar 23, 2021","['Action', 'Adventure', 'Casual', 'Indie']","Psychological Horror, Detective, First-Person, Action-Adventure, Survival Horror, Horror, Action, Surreal, Story Rich, Thriller, Stealth, Mystery, Sci-fi, Psychedelic, Adventure, Atmospheric, Tutorial, 3D, Cinematic, Indie","['windows', 'mac', 'linux']"
Outcore: Desktop Adventure,['Doctor Shinobi'],['Doctor Shinobi'],1275670,game,$0.00,14637,407,"Sep 26, 2022","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Free To Play']","Adventure, Psychological Horror, Free to Play, Story Rich, Comedy, Logic, Exploration, Choices Matter, Puzzle, Cute, Colorful, Funny, Pixel Graphics, Singleplayer, Emotional, Indie, Platformer, 2D, Action, RPG",['windows']
THE LONGING - Soundtrack,['Studio Seufz'],,1275730,music,$2.99,0,0,"Apr 4, 2020",[],,"['windows', 'mac', 'linux']"
Prescription for Sleep: Shovel Knight,"['GENTLE LOVE', 'virt']",['Scarlet Moon Records'],1275740,music,$9.99,0,0,"Jun 24, 2021",[],,"['windows', 'mac', 'linux']"
Street Power Football,"['SFL Interactive', 'Gamajun']",['Nacon'],1275760,game,$29.99,33,49,"Aug 25, 2020",['Sports'],"Football (Soccer), Simulation, Rhythm, Sports, Arcade, Multiplayer, Colorful, Casual, Precision Platformer, Spectacle fighter, Time Management, Minimalist, Funny, Anime, Cartoon, Score Attack, Local Multiplayer, Cartoony, Cute, Split Screen",['windows']
"The Narrator is a DICK : Longer, Harder, and Uncut",['Adam DeLease'],['Adam DeLease'],1275770,game,$4.99,36,11,"Apr 20, 2020","['Adventure', 'Indie']","Precision Platformer, Difficult, Platformer, 2D, Funny, Narration, Pixel Graphics, Comedy, Adventure, Retro, Co-op, Multiplayer, Online Co-Op, Singleplayer, Indie, Mature","['windows', 'mac', 'linux']"
Fantasy Memory Card Game - Expansion Pack 10,['Memory Card Game'],,1275780,dlc,$0.49,0,0,"Mar 28, 2020","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",,['windows']
Space Otter Charlie,['Wayward Distractions'],['The Quantum Astrophysicists Guild'],1275790,game,$14.99,74,1,"Mar 18, 2021","['Action', 'Adventure', 'Casual', 'Indie']","Puzzle-Platformer, 2D, Space, Cute, Family Friendly, Adventure, Indie, Exploration, Action, Casual, Action-Adventure, Platformer, Shooter, Cartoon, Futuristic, Physics, Arcade, Spaceships, Sci-fi, Local Multiplayer","['windows', 'mac']"
Stan Lee's Verticus,"['Hatchlight', 'Trepid Studios', 'Controlled Chaos Media']","['Hitcents', 'Moonshark']",1275810,game,$0.00,60,7,"Dec 24, 2020","['Action', 'Adventure', 'Free To Play']","Free to Play, Action, Adventure, Superhero, Comic Book","['windows', 'mac', 'linux']"
Frog Space,['Highlendid'],['Highlendid'],1275850,game,$2.99,6,5,"Jan 6, 2021","['Action', 'Adventure', 'Indie', 'Simulation']","Difficult, Indie, Action, Adventure, Platformer, Simulation, Third Person, 3D, Singleplayer, Precision Platformer, Action-Adventure, 3D Platformer, Satire, Fantasy, Early Access, Family Friendly, Nature, Driving, Physics, Character Customization",['windows']
Active Neurons 2,['Nikolai Usachev'],['USANIK STD'],1274910,game,$4.99,16,1,"Apr 15, 2020","['Casual', 'Indie', 'Strategy']","Puzzle, Relaxing, Minimalist, Abstract, Colorful, Controller, Atmospheric, Stylized, Logic, Hack and Slash, Casual, Exploration, Education, Tutorial, 2D, Arcade, Puzzle-Platformer, Singleplayer, Third Person, Indie",['windows']
Planet 2000,['Bionic Pony'],['Triskelia Games'],1274930,game,$0.00,4,3,"Apr 30, 2020","['Action', 'Casual', 'Free To Play', 'Indie']","Free to Play, Action, Indie, Casual, Retro",['windows']
Strip 'Em,['DreamBig Games'],"['DreamBig Games', 'XXX Dev CIRCLE']",1274940,game,$0.00,0,0,"Apr 17, 2020","['Casual', 'Indie']",,['windows']
lil' Sherman Original Soundtrack,['Dabster Entertainment'],['Dabster Entertainment'],1274950,music,$1.99,0,0,"Apr 3, 2020",[],,"['windows', 'mac', 'linux']"
Game Overlay Pro,['Dracula Games'],['Dracula Games'],1274960,game,$4.99,0,4,"Apr 30, 2020",['Utilities'],"Utilities, Design & Illustration, Video Production, Software, Level Editor",['windows']
ZEROED,['OAKgames'],['OAKgames'],1274970,game,$3.99,15,0,"Aug 8, 2021","['Action', 'Racing']","Combat Racing, Flight, Colorful, Action, Competitive, Controller, Multiplayer, PvP, Racing, Combat, Family Friendly, Vehicular Combat, Singleplayer, Jet, Modern, 3D, Arcade, Nature, Runner, Futuristic",['windows']
Rogue Party 2,['Chris Antoni'],['Chris Antoni'],1274980,game,$2.99,41,3,"Jun 15, 2020","['Action', 'Adventure', 'Indie', 'RPG']","Action, Indie, Adventure, RPG, Rogue-like, Action Roguelike, Online Co-Op, Multiplayer, Singleplayer, Co-op, Third Person, Medieval, Fantasy, Combat, PvE",['windows']
Living Art,['Sharadise'],['Sharadise'],1274990,game,$9.99,1,0,"Nov 15, 2021","['Action', 'Adventure', 'Indie']","Action, Indie, Adventure, 2D Platformer, Pixel Graphics, Difficult","['windows', 'mac']"
Cosmic Flow - Supporter Badge DLC,['vedev'],['vedev'],1275020,dlc,$5.99,0,0,"Apr 6, 2020",['Indie'],,['windows']
The King's Magic,['Amnaz Games'],['Amnaz Games'],1275030,game,$0.99,0,0,"Apr 15, 2020","['Action', 'Adventure', 'Indie']",,['windows']
Farm Builder,['LAN - GAMES LTD'],['LAN - GAMES LTD'],1275060,game,$3.99,9,4,"Jun 12, 2020","['Casual', 'Indie', 'Strategy']","Strategy, Casual, Indie, Multiplayer, Singleplayer, PvP","['windows', 'mac']"
A Buttload of Free Games,"['Del Nordlund', 'Patrick Flattery', 'Sebastian Scaini']",['Sebastian Scaini'],1275070,game,$0.00,43,17,"Apr 10, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Sports', 'Strategy', 'Free To Play']","Free to Play, Action, Adventure, Indie, Casual, Simulation, Sports, Strategy, RPG, Nudity, Sexual Content",['windows']
Fantasy Memory Card Game - Expansion Pack 9,['Memory Card Game'],,1275100,dlc,$0.49,0,0,"Mar 28, 2020","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",,['windows']
Naked Story Demo,"['WhiteCute', 'AlphaNuts']","['WhiteCute', 'AlphaNuts']",1275140,demo,$0.00,0,0,"Apr 3, 2020","['Adventure', 'Casual', 'Indie', 'RPG']",,['windows']
Aquadine,['SoftColors'],['SoftColors'],1275150,game,$19.99,32,2,"Feb 11, 2021","['Adventure', 'Casual', 'Indie']","Adventure, Casual, Visual Novel, Anime, Emotional, Text-Based, Third Person, Linear, Multiple Endings, Narration, Romance, Relaxing, Story Rich, Underwater, Fantasy, Comedy, Singleplayer, Indie","['windows', 'mac', 'linux']"
Aquadine Demo,['SoftColors'],['SoftColors'],1275160,demo,$0.00,0,0,"Dec 9, 2020","['Casual', 'Indie']",,"['windows', 'mac', 'linux']"
Hunter X - Begin,['Goldfish Inc.'],['Goldfish Inc.'],1275180,game,$1.99,0,0,"Apr 16, 2020","['Action', 'Casual', 'Indie']",,"['windows', 'mac']"
Inside The Mirror,['Stairs Productions'],['Stairs Productions'],1275190,game,$0.99,14,0,"Apr 27, 2020","['Casual', 'Indie']","Indie, Casual, Visual Novel, Thriller, Anime","['windows', 'mac']"
Cross Soul,['Midori Games / みどりげーむず'],['Midori Games / みどりげーむず'],1275210,game,$0.00,23,13,"Nov 5, 2021","['Action', 'RPG']","Action, RPG, Cute, Ninja, Action Roguelike, Free to Play",['windows']
Strato'S Sylph Asterism,['Acheron-Soft'],['Acheron-Soft'],1275230,game,$15.00,6,1,"May 6, 2020","['Action', 'Indie']","Action, Indie, Anime, Shoot 'Em Up, Mechs",['windows']
Pandoria,['Akuma Studio'],['Akuma Studio'],1275240,game,$13.99,1,1,"Jun 26, 2020","['Casual', 'Indie', 'RPG', 'Early Access']","RPG, Casual, Early Access, Indie, Building, Open World, Adventure",['windows']
Trump and Virus,"['UG Virtual Reality Technology Co.,Ltd.']","['UG Virtual Reality Technology Co.,Ltd.']",1275250,game,$1.99,12,5,"May 12, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Sports']","Sports, Action, Indie, Casual, Simulation, Racing, Adventure, RPG, Shooter, Memes, Flight, VR, FPS, Politics",['windows']
Dream Catcher,['TW Potato'],['Mature Games'],1275290,game,$0.99,56,41,"Jul 24, 2020","['Adventure', 'Casual']","Casual, NSFW, Sexual Content, Puzzle, Anime, Nudity, Cute, Relaxing, Simulation, Visual Novel, Clicker, Dating Sim, 2D, Life Sim, Colorful, Fantasy, Hentai, Memes, Match 3, Point & Click",['windows']
炽焰帝国:十字军东征,['Blueside'],[' FHYX（凤凰游戏）'],1275300,game,$0.00,0,0,Coming Soon,"['Action', 'RPG', 'Strategy']",,['windows']
Be Coronavirus,['COVID-19'],['Mike Flin'],1275320,game,$3.99,2,0,"Apr 21, 2020","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']","Strategy, Indie, Casual, Simulation, Action, Post-apocalyptic",['windows']
Viking Heroes,['Alawar Casual'],['Alawar Casual'],1275330,game,$3.49,31,0,"Apr 15, 2020","['Adventure', 'Casual', 'Strategy']","Strategy, Casual, Adventure, Time Management, Singleplayer, Indie",['windows']
Ninja Kiwi Archive,['Ninja Kiwi'],['Ninja Kiwi'],1275350,game,$0.00,5094,331,"Jul 8, 2020","['Action', 'Casual', 'Strategy']","Casual, Arcade, Strategy, Tower Defense, Action, Singleplayer, Online Co-Op, Co-op, Multiplayer, Platformer, Top-Down Shooter, 2D Platformer, PvP, 2D, Pixel Graphics, Top-Down, Cartoony, Survival, Fantasy, Ninja",['windows']
LesLove.Club: Emily and Sarah,['LesLove.Club'],['LesLove.Club'],1274610,game,$0.99,31,11,"Jun 5, 2020","['Casual', 'Indie']","Casual, Indie, Nudity, Sexual Content, Mature, Puzzle, LGBTQ+",['windows']
Horizon Springs,['Rishraff'],['SIG Inc'],1274620,game,$0.00,0,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Racing', 'Simulation', 'Strategy', 'Free To Play']",,"['windows', 'mac']"
So May It Be: A Witch Dating Simulator,['Planchette Games'],['Planchette Games'],1274630,game,$11.99,29,3,"May 7, 2020",['Indie'],"Indie, Sexual Content, LGBTQ+, Relaxing, Visual Novel, Magic, Singleplayer, Romance, Short, Cute, Minigames, Dating Sim, Story Rich","['windows', 'mac', 'linux']"
Nightvision: Drive Forever,['Hoodust Enterprises'],['Hoodust Enterprises'],1274640,game,$17.99,17,5,"Oct 13, 2020","['Action', 'Indie', 'Racing', 'Simulation']","Immersive Sim, Racing, Rogue-lite, Action, Casual, Driving, Sandbox, Physics, Difficult, Experimental, Automobile Sim, Arcade, First-Person, Procedural Generation, Horror, Choices Matter, Multiple Endings, Narration, Realistic, Simulation",['windows']
State of Decay: Original Game Soundtrack,['Undead Labs'],['Microsoft Studios Music'],1274660,music,$6.99,0,0,"Mar 25, 2020",[],,"['windows', 'mac', 'linux']"
COMMUNION,['Javier F. Hernandez'],['Javier Hernandez'],1274670,game,$0.00,0,0,Coming Soon,['Indie'],,['windows']
Pattern OST / Companion,['Michael Bell'],,1274680,music,$4.99,0,0,"Apr 7, 2020",[],,"['windows', 'mac', 'linux']"
Sayonara Electric,['KaminGames'],['KaminGames'],1274690,game,$9.99,5,0,"Dec 23, 2020","['Adventure', 'Indie']","Visual Novel, Point & Click, Text-Based, 2D, Cute, Snow, Relaxing, Story Rich, Narration, Conversation, Abstract, Space, Cats, Sci-fi, Philosophical, Robots, Atmospheric, Artificial Intelligence, Adventure, Cinematic","['windows', 'mac']"
You Alone Can Defeat Evil,"['Edward Marchioni', 'Emily Dawn Gilliland']",['Perfect Gen'],1274700,game,$0.00,0,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'Early Access']",,"['windows', 'mac']"
Lullaby Days,['Sunflo Labs'],['Sunflo Labs'],1274710,game,$19.99,93,17,"Jan 28, 2022","['Indie', 'RPG', 'Simulation']","Simulation, Multiple Endings, Life Sim, Story Rich, Female Protagonist, RPG, Cute, Fantasy, Visual Novel, Magic, 2D, Choices Matter, Dating Sim, Immersive Sim, Choose Your Own Adventure, Anime, Emotional, Hidden Object, Drama, Singleplayer",['windows']
SOULBOUND,['Parley Games'],['Parley Games'],1274720,game,$9.99,3,3,"Apr 15, 2021","['Action', 'Adventure', 'Indie']","Adventure, Atmospheric, Metroidvania, Singleplayer, Dark, Platformer, 2D Platformer, Difficult, Precision Platformer, Time Manipulation, Souls-like, Side Scroller, Action, Stylized, Time Travel, 2D, Ambient, Action-Adventure, Indie, 2.5D",['windows']
Pistol Dancer,['Yang Liu'],['L & L Technology'],1274730,game,$0.00,0,0,Coming Soon,"['Action', 'Indie', 'Early Access']",,['windows']
Magic Sword for Kamonegi-go Demo,['数井ムサシ'],['Kagi-zu-MEGA'],1274780,demo,$0.00,0,0,"Dec 24, 2020","['Adventure', 'Indie']",,['windows']
Pancake Sailor,['MarineVerse'],['MarineVerse'],1274800,game,$0.00,154,27,"Apr 1, 2020","['Casual', 'Racing', 'Simulation', 'Sports', 'Free To Play']","Simulation, Free to Play, Sailing, Casual, Sports, Multiplayer, Racing, Online Co-Op, Sandbox, Exploration, Education, Immersive Sim, 3D, First-Person, Third Person, Family Friendly, Atmospheric, Fantasy, Relaxing, Open World","['windows', 'mac']"
Armageddon Onslaught,['Crian Soft'],['Crian Soft'],1274810,game,$0.00,0,0,Coming Soon,"['Action', 'Indie']",,['windows']
Autopanic,['DK Liao'],['DK Liao'],1274830,game,$0.00,0,0,Coming Soon,"['Action', 'Indie', 'Free To Play']",,['windows']
Escape from GULAG,['Rabotiagi games'],['Rabotiagi games'],1274840,game,$1.99,57,11,"Jul 21, 2020","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']","Action, Indie, Violent, Casual, Simulation, Strategy, Psychological Horror, Time Travel, Quick-Time Events, Singleplayer, Military, World War II, Survival Horror, Fast-Paced, War, Horror, Realistic, Time Attack, Survival, Bullet Hell",['windows']
The Sickle Upon Sekigahara,['Nic3Ntertainment'],['Nic3Ntertainment'],1274850,game,$4.99,1,2,"Jun 22, 2020",['Adventure'],"Adventure, Narration, Visual Novel, Alternate History, Historical, Narrative",['windows']
Like old times,['Troglodyte Studio'],['Troglodyte Studio'],1274860,game,$0.00,0,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'RPG']",,['windows']
Light: A Maze Game,"['Henrique Marcos Rocha Chaves', 'Victor Rocha Grecco']",['Three Stone Kings'],1274110,game,$4.99,1,0,"Apr 13, 2020","['Casual', 'Indie']","Casual, Indie, Minimalist, Fast-Paced, Difficult, Singleplayer, Puzzle","['windows', 'mac', 'linux']"
